time_step,bus_voltages,bus_angles,load_p,load_q,gen_p,gen_q
27,"[1.06, 1.0449999999999997, 1.0099999999999998, 1.0313768132135293, 1.03192120313388, 1.0700000000000003, 1.0760381087082207, 1.09, 1.0788658962260884, 1.0739930296424915, 1.070520505088515, 1.0644906937258887, 1.0634153776239472, 1.0641905033176373]","[0.0, -1.4394827347569241, -4.667302274678469, -3.9687823828508635, -3.296402304235508, -5.603305728427939, -5.388152093212007, -5.388152093212006, -6.117963243439384, -6.161699331890803, -5.952579615620549, -5.993114891713327, -6.05731825188084, -6.530923690321825]","[9.893931188553836, 42.94969207197104, 21.794005106584017, 3.465155623640976, 5.106545129576172, 13.450275118080102, 4.103473764837996, 1.5957953529925544, 2.78124332950131, 6.155210647256994, 6.793528788454018]","[5.79045742371584, 8.662889059102438, -1.7781719647631313, 0.7295064470823107, 3.4195614706983295, 7.568629388478971, 2.644460870673376, 0.8206947529675995, 0.7295064470823107, 2.644460870673376, 2.27970764713222]","[40.0, 0.0, 0.0, 0.0]","[0.08447375506240462, -11.964503140069201, -11.357244304474447, 8.63948992792483]"
28,"[1.06, 1.0450000000000004, 1.0099999999999998, 1.0304988361860057, 1.0311565079396827, 1.07, 1.075069319737113, 1.09, 1.0772986055591547, 1.072406061367963, 1.069575358016893, 1.0638256823151917, 1.062489666126577, 1.062188359368222]","[0.0, -1.6920492307020247, -5.245155191312804, -4.423788884428289, -3.689348286488613, -6.220394997839201, -5.959830309769349, -5.959830309769349, -6.75009726417401, -6.8019397053740045, -6.585826958061594, -6.643878848859044, -6.709309999142556, -7.2111259337483]","[10.76093989477562, 46.71338885197528, 23.703821519367484, 3.7688084424098958, 5.554033494077737, 14.628927506722619, 4.4630626291696105, 1.7356354668992937, 3.0249646708816273, 6.694593943754417, 7.388848130514137]","[6.297877265606008, 9.422021106024737, -1.9339938059734978, 0.7934333562968201, 3.719218857641342, 8.231871071579507, 2.8761959165759725, 0.8926125258339226, 0.7934333562968201, 2.8761959165759725, 2.4794792384275617]","[40.0, 0.0, 0.0, 0.0]","[2.6668900254196686, -9.451540904766507, -9.757077194366579, 9.238967633577614]"
29,"[1.06, 1.045, 1.0099999999999998, 1.0329394904144347, 1.033268866760934, 1.07, 1.077779741916851, 1.09, 1.0816994388201036, 1.076868271188393, 1.0722354276834702, 1.0657050996882316, 1.0651035096391352, 1.0678284756923222]","[0.0, -0.9784275622261497, -3.6110114652343652, -3.13695446107328, -2.5779949651754968, -4.475490711134071, -4.343008079013099, -4.3430080790131, -4.962462020985056, -4.991434145207723, -4.795095780808521, -4.803626963307032, -4.865567495060733, -5.287889401878454]","[8.301479335402183, 36.0368365619763, 18.286207936968857, 2.9074305506477702, 4.2846344956914475, 11.285421216330159, 3.443009862609199, 1.3389482799035781, 2.333595573546237, 5.1645147939138, 5.700094105875233]","[4.858469472792983, 7.268576376619423, -1.4919709404639863, 0.6120906422416358, 2.869174885507666, 6.35044041325697, 2.2188285781259296, 0.6886019725218402, 0.6120906422416358, 2.2188285781259296, 1.9127832570051109]","[40.0, 0.0, 0.0, 0.0]","[-4.421017939053861, -16.4987307260648, -14.230674388410774, 7.561783315715189]"
30,"[1.06, 1.045, 1.0100000000000002, 1.031002543553643, 1.0315958585979976, 1.07, 1.0756243065427162, 1.0899999999999996, 1.0781956987559864, 1.0733141276778915, 1.0701160533485117, 1.0642057495923638, 1.0630188405594287, 1.0633334915945014]","[0.0, -1.54769368624009, -4.914948215965726, -4.1637849825236, -3.464809307478869, -5.86775638313332, -5.633157528945755, -5.633157528945758, -6.388870347727994, -6.436077930880801, -6.223961340958419, -6.272002914791538, -6.336733331239013, -6.822415171444118]","[10.265861908509729, 44.564248469198915, 22.613281070357825, 3.595417073948109, 5.298509372134051, 13.955895221245946, 4.257730745464863, 1.6557841787918919, 2.8857952830372984, 6.386596118197296, 7.048909789714055]","[6.008131163044864, 8.98854268487027, -1.8450166563681072, 0.756929910304865, 3.5481089545540523, 7.853147819412972, 2.7438709248551354, 0.851546149092973, 0.756929910304865, 2.7438709248551354, 2.3654059697027017]","[40.0, 0.0, 0.0, 0.0]","[1.1810207412459874, -10.890340269035903, -10.673912657051137, 8.89554690232126]"
31,"[1.06, 1.0450000000000004, 1.0100000000000002, 1.0307281941284467, 1.0313567706912241, 1.0699999999999998, 1.0753217570884688, 1.09, 1.0777064020727172, 1.072818750282315, 1.0698210483204753, 1.0639982616700585, 1.0627299884602437, 1.06270862312695]","[0.0, -1.6264978861532624, -5.095231647179136, -4.30574083576595, -3.587402747298983, -6.060283245101316, -5.811513190423424, -5.811513190423423, -6.586089102214003, -6.635826327950554, -6.421527976738624, -6.475034682537056, -6.540147967112545, -7.0346340655440365]","[10.53628067997963, 45.738140094658114, 23.208950069263874, 3.690125952435263, 5.438080350957225, 14.323515210110557, 4.369885996304914, 1.699400109674134, 2.9618116197177775, 6.554828994457373, 7.234589038327028]","[6.1663946836747145, 9.225314881088154, -1.8936172650654626, 0.7768686215653186, 3.641571663587428, 8.060011948740177, 2.8161487531742795, 0.8739771992609832, 0.7768686215653186, 2.8161487531742795, 2.427714442391619]","[40.0, 0.0, 0.0, 0.0]","[1.988898773316464, -10.105720757009092, -10.174152849785115, 9.082761722151169]"
32,"[1.06, 1.0449999999999997, 1.0099999999999998, 1.0289800169387016, 1.0298218925010152, 1.0700000000000003, 1.0734086044403544, 1.0899999999999999, 1.0746259041572417, 1.069705175971917, 1.0679690177988315, 1.0627023115876315, 1.0609238254189148, 1.058790111125293]","[0.0, -2.1188749809415226, -6.220454703532781, -5.191683949171096, -4.352473828565367, -7.262132940853644, -6.924618723433153, -6.924618723433154, -7.817062646548628, -7.882635165174255, -7.654718231064729, -7.7423455384895785, -7.809832863556219, -8.359515199173165]","[12.217474876266698, 53.03622734305635, 26.912225764310964, 4.278931293070365, 6.305793484524743, 16.60900962441786, 5.067155478635956, 1.9705604639139838, 3.434405379964373, 7.600733217953936, 8.388957403519532]","[7.15031939763074, 10.69732823267591, -2.1957673740755808, 0.9008276406463928, 4.222629565529963, 9.346086771706322, 3.265500197343173, 1.0134310957271915, 0.9008276406463928, 3.265500197343173, 2.815086377019975]","[40.0, 0.0, 0.0, 0.0]","[7.213879235433886, -5.158605596705575, -7.011225235783915, 10.266602986099194]"
33,"[1.06, 1.0450000000000002, 1.0100000000000002, 1.0278975168169227, 1.0288621827049063, 1.07, 1.0722359369049883, 1.0900000000000003, 1.0727488094409632, 1.0678122179184846, 1.0668448213842607, 1.0619211821853294, 1.0598334757673376, 1.0564151626002076]","[0.0, -2.4158168316663957, -6.898055837076274, -5.7251528050107785, -4.8131330919671065, -7.9860784656970685, -7.594872275810512, -7.594872275810512, -8.558411400742818, -8.633559140404756, -8.397440171943638, -8.505621694801752, -8.57452574741775, -9.15765288629258]","[13.224306462730127, 57.406897179224785, 29.130039120668194, 4.631554337177373, 6.825448496892965, 17.977743808780588, 5.484735399288991, 2.1329526552790528, 3.7174317706292075, 8.227103098933489, 9.080284161045112]","[7.739571063441134, 11.578885842943427, -2.376718673025229, 0.9750640709847102, 4.570612832740825, 10.116289736466364, 3.5346072573195735, 1.0969470798577985, 0.9750640709847102, 3.5346072573195735, 3.0470752218272166]","[40.0, 0.0, 0.0, 0.0]","[10.51203461791701, -2.1382520999263246, -5.070295588859953, 10.992238872303844]"
34,"[1.06, 1.0450000000000002, 1.0099999999999998, 1.0293828232659037, 1.0301772414666153, 1.0699999999999998, 1.0738472412649305, 1.0900000000000005, 1.075330161756502, 1.0704162141179527, 1.0683916368288802, 1.062997034094471, 1.061334886375252, 1.0596836257431865]","[0.0, -2.006871439059093, -5.964676363946031, -4.9903053802961415, -4.178574811107739, -6.988902039344777, -6.671605819131982, -6.671605819131981, -7.53723591685991, -7.599201740207974, -7.374380686226316, -7.454250498495212, -7.521200526547327, -8.058298686248797]","[11.83632400387189, 51.381646136623594, 26.072639971662493, 4.145440664950525, 6.109070453611294, 16.090855212636903, 4.909074471651935, 1.9090845167535306, 3.327261586341869, 7.3636117074779035, 8.127245514179318]","[6.927249532219954, 10.363601662376308, -2.127265604382505, 0.8727243505159, 4.0908953930432785, 9.05451513660246, 3.163625770620137, 0.9818148943303872, 0.8727243505159, 3.163625770620137, 2.727263595362185]","[40.0, 0.0, 0.0, 0.0]","[5.99853517670919, -6.290686488897638, -7.736808410743571, 9.995178553066307]"
35,"[1.06, 1.045, 1.01, 1.0296711883340492, 1.030431023695999, 1.0699999999999996, 1.0741620426411302, 1.09, 1.075836325142901, 1.0709275342736584, 1.0686956674376167, 1.063209421613236, 1.0616309993340378, 1.0603266564128107]","[0.0, -1.9261683836009564, -5.780311602093338, -4.845149186187797, -4.053224448573015, -6.791970587490528, -6.489230854402548, -6.489230854402549, -7.335541250482514, -7.394909979886184, -7.172320364231992, -7.246599063192035, -7.313160950599139, -7.841202118331215]","[11.561221445019031, 50.18742212538215, 25.466653689949744, 4.049091381665652, 5.967082036138851, 15.716867863044307, 4.794976636183007, 1.864713136293392, 3.2499286089684842, 7.192464954274512, 7.938350208791871]","[6.7662448088360225, 10.122728454164127, -2.077823209012636, 0.8524402908769795, 3.9958138634858384, 8.84406801784866, 3.09009605442905, 0.9589953272366015, 0.8524402908769795, 3.09009605442905, 2.6638759089905584]","[40.0, 0.0, 0.0, 0.0]","[5.132595799968733, -7.103947251327325, -8.257399859132324, 9.800382356609706]"
36,"[1.06, 1.045, 1.0099999999999998, 1.0284898138138094, 1.0293881368891504, 1.0700000000000005, 1.0728764827427915, 1.0900000000000007, 1.0737731190033042, 1.068844788582203, 1.067457883183529, 1.0623466458616073, 1.0604275231398417, 1.0577099673989765]","[0.0, -2.2540627592716618, -6.5290363322196585, -5.434630202475711, -4.562264494391814, -7.591799549300986, -7.229857558867725, -7.229857558867725, -8.154667436999015, -8.224596844684296, -7.992944768667789, -8.089931984313496, -8.158065689931735, -8.722959545961093]","[12.67651393281204, 55.028922233681755, 27.92338092112513, 4.439700732229102, 6.542716868548146, 17.233048894836646, 5.257540340797619, 2.0445990214212966, 3.5634440087628327, 7.886310511196431, 8.704150119764952]","[7.41897359201442, 11.099251830572753, -2.278267481012301, 0.9346738383640217, 4.3812836173313485, 9.697241073026722, 3.388192664069578, 1.051508068159524, 0.9346738383640217, 3.388192664069578, 2.920855744887565]","[40.0, 0.0, 0.0, 0.0]","[8.701741310700221, -3.7869491830830437, -6.130689787999936, 10.595874998783998]"
37,"[1.06, 1.0450000000000002, 1.01, 1.030995194556154, 1.0315894607344387, 1.0700000000000003, 1.0756161936383661, 1.0899999999999999, 1.0781825703611603, 1.0733008331189202, 1.0701081349869705, 1.064200176479797, 1.0630110831727875, 1.063316716677708]","[0.0, -1.5498102704379468, -4.919791109155719, -4.167598335944582, -3.4681025474274465, -5.872928057417164, -5.637948695978645, -5.637948695978645, -6.394168150621002, -6.4414436598694005, -6.229268462809518, -6.277456837828081, -6.342197548188412, -6.828115753342133]","[10.273129857058814, 44.59579873432904, 22.629290652876087, 3.5979625305828105, 5.30226057138519, 13.965775612130646, 4.260745102005958, 1.6569564285578728, 2.887838346915151, 6.391117653008939, 7.05390022443209]","[6.012384755052854, 8.994906326457023, -1.8463228775359148, 0.7574657959121708, 3.5506209183382977, 7.85870763258877, 2.745813510181619, 0.8521490204011917, 0.7574657959121708, 2.745813510181619, 2.3670806122255312]","[40.0, 0.0, 0.0, 0.0]","[1.2026167430647945, -10.86929235704153, -10.660513120135445, 8.90056709292118]"
38,"[1.06, 1.0450000000000002, 1.0100000000000002, 1.0324046543832401, 1.0328096310616732, 1.0699999999999998, 1.077181053665213, 1.0899999999999999, 1.0807230292316075, 1.075876586586687, 1.0716435709906347, 1.0652848388433205, 1.0645196522624525, 1.066572167872097]","[0.0, -1.1379596162053665, -3.976714713672534, -3.4249608693564215, -2.8267366793647977, -4.865931035975931, -4.704875402592166, -4.704875402592167, -5.36251457343685, -5.396590336154315, -5.195827120074183, -5.215436087836006, -5.278162758920125, -5.718198492750428]","[8.853909794404462, 38.434944821792634, 19.503082404264198, 3.100908499422761, 4.56975989388617, 12.03642114907519, 3.6721284861585315, 1.4280499668394289, 2.488887085063006, 5.508192729237798, 6.079412715973572]","[5.181781308245929, 7.7522712485569, -1.5912556773353632, 0.6528228419837393, 3.0601070717987753, 6.773036985581292, 2.3664828021910544, 0.7344256972317063, 0.6528228419837393, 2.3664828021910544, 2.040071381199183]","[40.0, 0.0, 0.0, 0.0]","[-2.8926432634170993, -14.937643461286791, -13.243417932120817, 7.93224609986807]"
39,"[1.06, 1.0450000000000002, 1.0100000000000002, 1.0310654079893502, 1.0316505719757991, 1.07, 1.075693724839901, 1.0899999999999996, 1.078308049983262, 1.0734279077300106, 1.070183824602838, 1.0642534571245197, 1.0630852435148117, 1.063477069618835]","[0.0, -1.5295752879975049, -4.87349046351116, -4.131140545557385, -3.4366172916948527, -5.823484333112269, -5.592142443392151, -5.592142443392152, -6.343518362161182, -6.390144522221671, -6.178529638926202, -6.225314531896504, -6.289956806480408, -6.773615554379158]","[10.203635861523521, 44.29412433896385, 22.47621171340203, 3.5736236197040903, 5.266392702721813, 13.871302208061929, 4.231922707544316, 1.6457477196005672, 2.8683031684467046, 6.347884061316475, 7.006183149156704]","[5.971713153979203, 8.934059049260222, -1.833833173269203, 0.7523418146745455, 3.526602256286929, 7.805546327248407, 2.7272390781952267, 0.8463845415088631, 0.7523418146745455, 2.7272390781952267, 2.351068170857952]","[40.0, 0.0, 0.0, 0.0]","[0.9963863881596424, -11.070455932085938, -10.788562574173024, 8.852591498443052]"
40,"[1.06, 1.0449999999999997, 1.0100000000000005, 1.030982949643097, 1.0315787997931765, 1.0699999999999996, 1.075602676948819, 1.0899999999999999, 1.078160698461899, 1.0732786847599034, 1.0700949433731732, 1.0641908924098162, 1.0629981602480385, 1.0632887707761431]","[0.0, -1.5533362314605688, -4.927858669406918, -4.173950826591145, -3.4735886026645737, -5.881543332772002, -5.645930080560926, -5.645930080560927, -6.402993526761676, -6.450382194357412, -6.238109366179069, -6.286542291607445, -6.351300149028492, -6.837612121286499]","[10.285236746323974, 44.64835490800545, 22.6559592845293, 3.602202731431438, 5.308509288425273, 13.982234286477292, 4.265766392484597, 1.6589091526328985, 2.891241666017339, 6.3986495887268955, 7.062213249780057]","[6.019470353839377, 9.005506828578593, -1.848498770076658, 0.7583584697750398, 3.554805327070496, 7.867969123916035, 2.7490494529345186, 0.8531532784969192, 0.7583584697750398, 2.7490494529345186, 2.3698702180469966]","[40.0, 0.0, 0.0, 0.0]","[1.2386055271401375, -10.834226012567878, -10.638188320286336, 8.908931096103915]"
41,"[1.06, 1.0449999999999997, 1.01, 1.0301169358206699, 1.0308222922247368, 1.0700000000000003, 1.0746499740917779, 1.09, 1.0766220864442606, 1.0717217750795844, 1.0691681191699076, 1.0635400729745028, 1.0620918103576367, 1.061326301702563]","[0.0, -1.8005444474796244, -5.493215150668069, -4.619104060515275, -3.8580191005261857, -6.485325851854096, -6.205226235551446, -6.205226235551445, -7.021464287645584, -7.076793103598894, -6.85767821002311, -6.923251186981167, -6.989207221032587, -7.503167377149558]","[11.132213469240005, 48.32509257153956, 24.521649946067836, 3.898839740378988, 5.74565856476903, 15.133654255418438, 4.617047060975116, 1.7955183014903227, 3.1293318968831354, 6.925570591462675, 7.643777912058805]","[6.5151664082648875, 9.747099350947467, -2.000720393089216, 0.8208083663955766, 3.847539217479262, 8.515886801354105, 2.9754303281839647, 0.9234094121950231, 0.8208083663955766, 2.9754303281839647, 2.5650261449861738]","[40.0, 0.0, 0.0, 0.0]","[3.8009588588139778, -8.365785991325842, -9.06405341230719, 9.498454862311862]"
42,"[1.06, 1.0449999999999997, 1.0099999999999998, 1.0308685518768739, 1.0314791515079977, 1.0699999999999998, 1.0754764606589224, 1.0899999999999996, 1.0779565207728905, 1.0730719485335627, 1.0699718199806274, 1.0641042682611654, 1.0628775755228346, 1.0630279576316872]","[0.0, -1.5862355547087608, -5.0031286479003825, -4.233218976299367, -3.524772856436449, -5.961924276259276, -5.720395605008764, -5.720395605008766, -6.485334023252487, -6.53377865128586, -6.320594923328383, -6.371309543881081, -6.436227315747436, -6.926214157248888]","[10.398165594334834, 45.138580598448904, 22.904714995815894, 3.641753848707131, 5.3667951454631355, 14.135755070639519, 4.312603241890022, 1.6771234829572306, 2.9229866417254606, 6.468904862835034, 7.139754256017928]","[6.085562352444811, 9.104384621767824, -1.8687947381523422, 0.7666850207804488, 3.5938360349083505, 7.954357090597154, 2.7792332003291262, 0.8625206483780044, 0.7666850207804488, 2.7792332003291262, 2.3958906899388994]","[40.0, 0.0, 0.0, 0.0]","[1.5751600979262363, -10.506843977035537, -10.42971180218828, 8.987032575517464]"
